file                                                                  , best_acc, best_epoch, source_train_loss, source_train_acc, source_val_loss, source_val_acc, target_val_loss, target_val_acc, model_name        , data_name, data_dir                                          , transfer_task  , task_type  , normlizetype, metric_type, threshold, cuda_device, checkpoint_dir               , pretrained, batch_size, num_workers, bottleneck, bottleneck_num, last_batch, distance_metric, distance_loss, trade_off_distance, lam_distance, domain_adversarial, adversarial_loss, hidden_size, trade_off_adversarial, lam_adversarial, opt , lr   , momentum, weight_decay, lr_scheduler, gamma, steps    , middle_epoch, max_epoch, print_step
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-171647/train.log,   0.6406,        194,            0.6995,           0.9736,          0.0031,         0.9844,          0.2502,         0.6016, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , CORAL        , Step              ,            1, True              , DA              ,        1024, Step                 ,               1, sgd , 0.1  ,      0.9, 0.001       , step        ,  0.1 , "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-171717/train.log,   0.7109,        210,            0.6731,           0.9834,          0.013 ,         0.9375,          0.1907,         0.5937, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , CORAL        , Step              ,            1, True              , DA              ,        1024, Step                 ,               1, sgd , 0.1  ,      0.9, 0.001       , exp         ,  0.99, "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-171746/train.log,   0.7969,        223,            0.6994,           0.9932,          0.0006,         0.9961,          0.226 ,         0.6328, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , CORAL        , Step              ,            1, True              , DA              ,        1024, Step                 ,               1, adam, 0.001,      0.9, 1e-05       , step        ,  0.1 , "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-171849/train.log,   0.7891,        243,            0.6487,           0.999 ,          0.0069,         0.9844,          0.3477,         0.7891, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , CORAL        , Step              ,            1, True              , DA              ,        1024, Step                 ,               1, adam, 0.001,      0.9, 1e-05       , exp         ,  0.99, "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-171929/train.log,   0.7891,        164,            0.6942,           0.999 ,          0.0   ,         1.0   ,          0.6753,         0.7734, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , CORAL        , Step              ,            1, True              , DA              ,        1024, Step                 ,               1, adam, 0.001,      0.9, 1e-05       , stepLR      ,  0.1 , 200      ,           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-171959/train.log,   0.75  ,        248,            0.6978,           0.9824,          0.0008,         0.9961,          0.1044,         0.7344, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , CORAL        , Step              ,            1, True              , CDA             ,        1024, Step                 ,               1, sgd , 0.1  ,      0.9, 0.001       , step        ,  0.1 , "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-172028/train.log,   0.7656,        228,            0.6831,           0.9902,          0.0164,         0.9687,          0.2566,         0.5977, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , CORAL        , Step              ,            1, True              , CDA             ,        1024, Step                 ,               1, sgd , 0.1  ,      0.9, 0.001       , exp         ,  0.99, "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-172057/train.log,   0.7812,        151,            0.6942,           0.998 ,          0.0   ,         1.0   ,          1.1534,         0.7422, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , CORAL        , Step              ,            1, True              , CDA             ,        1024, Step                 ,               1, adam, 0.001,      0.9, 1e-05       , step        ,  0.1 , "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-172127/train.log,   0.7109,        173,            0.7601,           0.8984,          0.0072,         0.8984,          0.65  ,         0.5937, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , CORAL        , Step              ,            1, True              , CDA             ,        1024, Step                 ,               1, adam, 0.001,      0.9, 1e-05       , exp         ,  0.99, "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-172158/train.log,   0.7891,        206,            0.7768,           0.9873,          0.0004,         1.0   ,          1.2998,         0.7266, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , CORAL        , Step              ,            1, True              , CDA             ,        1024, Step                 ,               1, adam, 0.001,      0.9, 1e-05       , stepLR      ,  0.1 , 200      ,           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-172229/train.log,   0.7891,        170,            0.6748,           0.9961,          0.0008,         1.0   ,          0.4871,         0.7891, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , CORAL        , Step              ,            1, True              , CDA+E           ,        1024, Step                 ,               1, sgd , 0.1  ,      0.9, 0.001       , step        ,  0.1 , "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-172259/train.log,   0.7891,        136,            0.6893,           1.0   ,          0.0001,         1.0   ,          0.3527,         0.7656, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , CORAL        , Step              ,            1, True              , CDA+E           ,        1024, Step                 ,               1, sgd , 0.1  ,      0.9, 0.001       , exp         ,  0.99, "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-172328/train.log,   0.7969,        212,            0.6983,           0.9014,          0.0036,         0.9023,          1.3883,         0.7969, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , CORAL        , Step              ,            1, True              , CDA+E           ,        1024, Step                 ,               1, adam, 0.001,      0.9, 1e-05       , step        ,  0.1 , "150,250",           50,       300,          5
./checkpoint/canshutiaozheng5/resnet_features_1d_0506-172358/train.log,   0.7852,        296,            0.6958,           1.0   ,          0.001 ,         1.0   ,          0.3884,         0.7852, resnet_features_1d, XJTU     , /root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets, "[[0], [1]]"   , multi_label, 0-1         , jaccard    ,       0.5,           0, ./checkpoint/canshutiaozheng5, False     ,        512,           0, True      ,            256, False     , False          , CORAL        , Step              ,            1, True              , CDA+E           ,        1024, Step                 ,               1, adam, 0.001,      0.9, 1e-05       , exp         ,  0.99, "150,250",           50,       300,          5
