model_name,data_name,Input type,is_apply_multi_label,transfer_task,source_train-Loss,source_train-Acc,source_val-Loss,source_val-Acc,target_val-Loss,target_val-Acc
resnet_features_1d,PHM,FFT,0,"[[1, 2], [0]]",0.6921,1,1.0442,0.8333,2.8890 ,0.7564
resnet_features_1d,PHM,FFT,0,"[[1, 2], [3]]",0.6921,1,1.1926,0.8285,2.1680 ,0.7949
resnet_features_1d,PHM,FFT,0,"[[2, 3], [0]]",0.6845,1,1.0619,0.8301,7.1956,0.5288
resnet_features_1d,PHM,FFT,0,"[[2, 3], [1]]",0.6932,1,1.0193,0.8494,3.1106,0.7212
resnet_features_1d,PHM,FFT,0,"[[0, 1, 2], [3]]",0.6933,1,0.8134,0.8643,2.2891,0.7147
resnet_features_1d,PHM,FFT,0,"[[0, 2, 3], [1]]",0.6950 ,1,0.8086,0.8707,3.0679,0.7179
resnet_features_1d,PHM,FFT,0,"[[1, 2, 3], [0]]",0.6930 ,1,1.1361,0.8280 ,3.9804,0.6955
resnet_features_1d,PHM,FFT,0,"[[0, 1, 3], [2]]",0.6931,1,0.8913,0.8547,1.8196,0.7692
resnet_features_1d,PHM,FFT,0,"[[0, 1], [2, 3]]",0.6939,1,0.6621,0.8702,4.2881,0.6282
resnet_features_1d,PHM,FFT,0,"[[0, 2], [1, 3]]",0.6950 ,1,0.8306,0.8670 ,3.9913,0.6458
resnet_features_1d,PHM,FFT,0,"[[0, 3], [1, 2]]",0.6940 ,1,0.6127,0.9071,3.7357,0.6763
resnet_features_1d,PHM,FFT,0,"[[1, 2], [0, 3]]",0.6944,1,1.3951,0.8141,3.1048,0.7035
resnet_features_1d,PHM,FFT,0,"[[1, 3], [0, 2]]",0.6950 ,1,0.9958,0.8494,3.1925,0.7019
resnet_features_1d,PHM,FFT,0,"[[2, 3], [0, 1]]",0.6932,1,1.2879,0.8157,4.5852,0.6218
resnet_features_1d,PHM,FFT,0,"[[2, 3], [0, 1]]",0.6941,1,1.1832,0.8429,4.5594,0.6266
resnet_features_1d,PHM,FFT,0,"[[1, 3], [0, 2]]",0.6939,1,1.1467,0.8397,3.8427,0.6811
resnet_features_1d,PHM,FFT,0,"[[1, 2], [0, 3]]",0.6938,1,1.1949,0.8542,3.9921,0.6667
resnet_features_1d,PHM,FFT,0,"[[0, 3], [1, 2]]",0.6934,1,0.5935,0.8958,3.7024,0.6506
resnet_features_1d,PHM,FFT,0,"[[0, 2], [1, 3]]",0.6945,1,0.7411,0.8830 ,3.8914,0.6635
resnet_features_1d,PHM,FFT,0,"[[0, 1], [2, 3]]",0.6931,1,0.6994,0.8686,4.0252,0.6394
cnn_features_1d,PHM,TimeSeries,0,"[[0], [1]]",0.7081,0.996,1.148,0.7083,5.3421,0.4231
cnn_features_1d,PHM,TimeSeries,0,"[[0], [2]]",0.7384,0.9816,1.4858,0.6731,4.8983,0.4167
cnn_features_1d,PHM,TimeSeries,0,"[[0], [3]]",0.7279,0.9776,1.5711,0.6538,6.2543,0.3526
cnn_features_1d,PHM,TimeSeries,0,"[[1], [0]]",0.7147,0.9832,1.9649,0.6186,4.464,0.4263
cnn_features_1d,PHM,TimeSeries,0,"[[1], [2]]",0.7225,0.9888,2.5103,0.5641,2.8918,0.5321
cnn_features_1d,PHM,TimeSeries,0,"[[1], [3]]",0.7377,0.9808,2.0122,0.5962,4.0436,0.4583
cnn_features_1d,PHM,TimeSeries,0,"[[2], [0]]",0.6964,0.9936,1.8245,0.6122,4.6631,0.4391
cnn_features_1d,PHM,TimeSeries,0,"[[2], [1]]",0.6944,0.9984,2.0569,0.6506,3.3922,0.5000 
cnn_features_1d,PHM,TimeSeries,0,"[[2], [3]]",0.6979,0.9936,1.8087,0.6538,2.6960 ,0.5609
cnn_features_1d,PHM,TimeSeries,0,"[[3], [0]]",0.6732,0.9944,2.3932,0.5897,7.2805,0.3013
cnn_features_1d,PHM,TimeSeries,0,"[[3], [1]]",0.7207,0.9904,2.2031,0.6122,3.8251,0.4487
cnn_features_1d,PHM,TimeSeries,0,"[[3], [2]]",0.7126,0.9872,2.2280 ,0.6250 ,3.1530 ,0.5513
cnn_features_1d,PHM,TimeSeries,0,"[[0, 1], [2]]",0.7368,0.9772,2.2823,0.6058,3.3929,0.5256
cnn_features_1d,PHM,TimeSeries,0,"[[0, 1], [3]]",0.7356,0.9792,2.1511,0.6202,5.0491,0.3846
cnn_features_1d,PHM,TimeSeries,0,"[[0, 2], [1]]",0.7249,0.9876,2.1732,0.6346,3.0329,0.5577
cnn_features_1d,PHM,TimeSeries,0,"[[0, 2], [3]]",0.7116,0.9904,2.3189,0.6250 ,3.4276,0.4808
cnn_features_1d,PHM,TimeSeries,0,"[[0, 3], [1]]",0.7153,0.9912,2.6312,0.6042,3.9848,0.4647
cnn_features_1d,PHM,TimeSeries,0,"[[0, 3], [2]]",0.7291,0.9808,2.5920 ,0.5833,2.8326,0.5224
cnn_features_1d,PHM,TimeSeries,0,"[[1, 2], [0]]",0.7280 ,0.9864,2.4001,0.5737,5.0344,0.4038
cnn_features_1d,PHM,TimeSeries,0,"[[1, 2], [3]]",0.7205,0.9884,2.0933,0.6186,3.0237,0.5513
cnn_features_1d,PHM,TimeSeries,0,"[[2, 3], [0]]",0.7033,0.9896,2.2972,0.6286,6.3773,0.359
cnn_features_1d,PHM,TimeSeries,0,"[[2, 3], [1]]",0.7184,0.9904,2.1715,0.6154,3.8015,0.5032
cnn_features_1d,PHM,TimeSeries,0,"[[0, 1, 2], [3]]",0.8033,0.9527,1.9964,0.6122,3.2168,0.5064
